"day","period","time","temperature","par"
1,1,"04:39",7.7,0
1,2,"06:39",9.7,225
1,3,"08:39",11.8,225
1,4,"16:45",11.8,225
1,5,"18:45",8.1,0
1,6,"20:45",4.5,0
2,1,"04:42",4.5,0
2,2,"06:42",8.3,218
2,3,"08:42",12.1,218
2,4,"16:41",12.1,218
2,5,"18:41",10.3,0
2,6,"20:41",8.6,0
3,1,"04:45",8.6,0
3,2,"06:45",9.7,212
3,3,"08:45",10.9,212
3,4,"16:38",10.9,212
3,5,"18:38",9.6,0
3,6,"20:38",8.3,0
4,1,"04:47",8.3,0
4,2,"06:47",9.9,205
4,3,"08:47",11.5,205
4,4,"16:35",11.5,205
4,5,"18:35",10,0
4,6,"20:35",8.5,0
5,1,"04:50",8.5,0
5,2,"06:50",10.8,198
5,3,"08:50",13.2,198
5,4,"16:31",13.2,198
5,5,"18:31",9.8,0
5,6,"20:31",6.5,0
6,1,"04:53",6.5,0
6,2,"06:53",11.2,192
6,3,"08:53",15.9,192
6,4,"16:28",15.9,192
6,5,"18:28",11.5,0
6,6,"20:28",7.2,0
7,1,"04:55",7.2,0
7,2,"06:55",11.2,185
7,3,"08:55",15.2,185
7,4,"16:25",15.2,185
7,5,"18:25",11.6,0
7,6,"20:25",8,0
8,1,"04:58",8,0
8,2,"06:58",9,178
8,3,"08:58",10.1,178
8,4,"16:21",10.1,178
8,5,"18:21",8.9,0
8,6,"20:21",7.8,0
9,1,"05:01",7.8,0
9,2,"07:01",9.6,172
9,3,"09:01",11.5,172
9,4,"16:18",11.5,172
9,5,"18:18",8.9,0
9,6,"20:18",6.4,0
10,1,"05:03",6.4,0
10,2,"07:03",11.2,165
10,3,"09:03",16,165
10,4,"16:15",16,165
10,5,"18:15",11.9,0
10,6,"20:15",7.8,0
11,1,"05:06",7.8,0
11,2,"07:06",10.5,158
11,3,"09:06",13.1,158
11,4,"16:12",13.1,158
11,5,"18:12",10.6,0
11,6,"20:12",8,0
12,1,"05:09",8,0
12,2,"07:09",12.9,152
12,3,"09:09",17.8,152
12,4,"16:08",17.8,152
12,5,"18:08",12.7,0
12,6,"20:08",7.6,0
13,1,"05:11",7.6,0
13,2,"07:11",12,145
13,3,"09:11",16.4,145
13,4,"16:05",16.4,145
13,5,"18:05",11.3,0
13,6,"20:05",6.2,0
14,1,"05:14",6.2,0
14,2,"07:14",10.6,138
14,3,"09:14",15.1,138
14,4,"16:02",15.1,138
14,5,"18:02",11.1,0
14,6,"20:02",7.2,0
15,1,"05:17",7.2,0
15,2,"07:17",8.6,132
15,3,"09:17",10,132
15,4,"15:58",10,132
15,5,"17:58",8.4,0
15,6,"19:58",6.8,0
16,1,"05:19",6.8,0
16,2,"07:19",8.2,125
16,3,"09:19",9.7,125
16,4,"15:55",9.7,125
16,5,"17:55",7.1,0
16,6,"19:55",4.4,0
17,1,"05:22",4.4,0
17,2,"07:22",8,118
17,3,"09:22",11.5,118
17,4,"15:52",11.5,118
17,5,"17:52",9.7,0
17,6,"19:52",7.9,0
18,1,"05:25",7.9,0
18,2,"07:25",10.4,112
18,3,"09:25",12.9,112
18,4,"15:49",12.9,112
18,5,"17:49",9.8,0
18,6,"19:49",6.8,0
19,1,"05:28",6.8,0
19,2,"07:28",7.7,105
19,3,"09:28",8.6,105
19,4,"15:46",8.6,105
19,5,"17:46",7.6,0
19,6,"19:46",6.5,0
20,1,"05:30",6.5,0
20,2,"07:30",7.2,98
20,3,"09:30",7.9,98
20,4,"15:42",7.9,98
20,5,"17:42",6.6,0
20,6,"19:42",5.3,0
21,1,"05:33",5.3,0
21,2,"07:33",8.1,92
21,3,"09:33",10.8,92
21,4,"15:39",10.8,92
21,5,"17:39",7,0
21,6,"19:39",3.2,0
22,1,"05:36",3.2,0
22,2,"07:36",7.9,85
22,3,"09:36",12.7,85
22,4,"15:36",12.7,85
22,5,"17:36",6.7,0
22,6,"19:36",0.6,0
23,1,"05:39",0.6,0
23,2,"07:39",5.4,78
23,3,"09:39",10.2,78
23,4,"15:33",10.2,78
23,5,"17:33",5.2,0
23,6,"19:33",0.3,0
24,1,"05:41",0.3,0
24,2,"07:41",5.8,72
24,3,"09:41",11.3,72
24,4,"15:30",11.3,72
24,5,"17:30",7.4,0
24,6,"19:30",3.6,0
25,1,"05:44",3.6,0
25,2,"07:44",8.1,65
25,3,"09:44",12.6,65
25,4,"15:26",12.6,65
25,5,"17:26",7.8,0
25,6,"19:26",3,0
26,1,"05:47",3,0
26,2,"07:47",6.5,58
26,3,"09:47",9.9,58
26,4,"15:23",9.9,58
26,5,"17:23",6.4,0
26,6,"19:23",2.9,0
27,1,"05:50",2.9,0
27,2,"07:50",6.4,52
27,3,"09:50",9.9,52
27,4,"15:20",9.9,52
27,5,"17:20",6.1,0
27,6,"19:20",2.4,0
28,1,"05:53",2.4,0
28,2,"07:53",4.3,45
28,3,"09:53",6.2,45
28,4,"15:17",6.2,45
28,5,"17:17",3.9,0
28,6,"19:17",1.6,0
29,1,"05:56",1.6,0
29,2,"07:56",3,38
29,3,"09:56",4.4,38
29,4,"15:14",4.4,38
29,5,"17:14",1.3,0
29,6,"19:14",-1.7,0
30,1,"05:58",-1.7,0
30,2,"07:58",2.4,32
30,3,"09:58",6.4,32
30,4,"15:11",6.4,32
30,5,"17:11",1.6,0
30,6,"19:11",-3.1,0
31,1,"06:01",-3.1,0
31,2,"08:01",1.5,25
31,3,"10:01",6,25
31,4,"15:08",6,25
31,5,"17:08",1.9,0
31,6,"19:08",-2.3,0
32,1,"06:04",-2.3,0
32,2,"08:04",1.8,25
32,3,"10:04",5.9,25
32,4,"15:05",5.9,25
32,5,"17:05",3.3,0
32,6,"19:05",0.7,0
33,1,"06:07",0.7,0
33,2,"08:07",1.5,25
33,3,"10:07",2.4,25
33,4,"15:01",2.4,25
33,5,"17:01",1.2,0
33,6,"19:01",0,0
34,1,"06:10",0,0
34,2,"08:10",1.3,25
34,3,"10:10",2.6,25
34,4,"14:58",2.6,25
34,5,"16:58",2.7,0
34,6,"18:58",2.7,0
35,1,"06:13",2.7,0
35,2,"08:13",4.4,25
35,3,"10:13",6,25
35,4,"14:55",6,25
35,5,"16:55",5.7,0
35,6,"18:55",5.4,0
36,1,"06:16",5.4,0
36,2,"08:16",5.9,25
36,3,"10:16",6.4,25
36,4,"14:52",6.4,25
36,5,"16:52",5.4,0
36,6,"18:52",4.4,0
37,1,"05:18",4.4,0
37,2,"07:18",5.7,25
37,3,"09:18",7.1,25
37,4,"13:49",7.1,25
37,5,"15:49",6.7,0
37,6,"17:49",6.2,0
38,1,"05:21",6.2,0
38,2,"07:21",7,25
38,3,"09:21",7.9,25
38,4,"13:46",7.9,25
38,5,"15:46",6.4,0
38,6,"17:46",5,0
39,1,"05:24",5,0
39,2,"07:24",6.5,25
39,3,"09:24",8,25
39,4,"13:43",8,25
39,5,"15:43",6.5,0
39,6,"17:43",5,0
40,1,"05:27",5,0
40,2,"07:27",5.9,25
40,3,"09:27",6.9,25
40,4,"13:41",6.9,25
40,5,"15:41",5.1,0
40,6,"17:41",3.3,0
41,1,"05:30",3.3,0
41,2,"07:30",5.2,25
41,3,"09:30",7.2,25
41,4,"13:38",7.2,25
41,5,"15:38",6.7,0
41,6,"17:38",6.1,0
42,1,"05:33",6.1,0
42,2,"07:33",7.4,25
42,3,"09:33",8.6,25
42,4,"13:35",8.6,25
42,5,"15:35",6.8,0
42,6,"17:35",5,0
43,1,"05:36",5,0
43,2,"07:36",6.7,25
43,3,"09:36",8.4,25
43,4,"13:32",8.4,25
43,5,"15:32",6.6,0
43,6,"17:32",4.9,0
44,1,"05:39",4.9,0
44,2,"07:39",5.6,25
44,3,"09:39",6.2,25
44,4,"13:29",6.2,25
44,5,"15:29",5.9,0
44,6,"17:29",5.6,0
45,1,"05:42",5.6,0
45,2,"07:42",6.8,25
45,3,"09:42",8.1,25
45,4,"13:26",8.1,25
45,5,"15:26",6.2,0
45,6,"17:26",4.4,0
46,1,"05:45",4.4,0
46,2,"07:45",5.4,25
46,3,"09:45",6.3,25
46,4,"13:23",6.3,25
46,5,"15:23",6.1,0
46,6,"17:23",5.9,0
47,1,"05:48",5.9,0
47,2,"07:48",6.4,25
47,3,"09:48",6.9,25
47,4,"13:21",6.9,25
47,5,"15:21",5.7,0
47,6,"17:21",4.5,0
48,1,"05:51",4.5,0
48,2,"07:51",5.4,25
48,3,"09:51",6.3,25
48,4,"13:18",6.3,25
48,5,"15:18",4.6,0
48,6,"17:18",2.9,0
49,1,"05:53",2.9,0
49,2,"07:53",4.7,25
49,3,"09:53",6.6,25
49,4,"13:15",6.6,25
49,5,"15:15",5,0
49,6,"17:15",3.4,0
50,1,"05:56",3.4,0
50,2,"07:56",5.4,25
50,3,"09:56",7.3,25
50,4,"13:13",7.3,25
50,5,"15:13",4.6,0
50,6,"17:13",1.9,0
51,1,"05:59",1.9,0
51,2,"07:59",4.3,25
51,3,"09:59",6.7,25
51,4,"13:10",6.7,25
51,5,"15:10",4.1,0
51,6,"17:10",1.6,0
52,1,"06:02",1.6,0
52,2,"08:02",3.6,25
52,3,"10:02",5.5,25
52,4,"13:07",5.5,25
52,5,"15:07",2.6,0
52,6,"17:07",-0.4,0
53,1,"06:05",-0.4,0
53,2,"08:05",1.6,25
53,3,"10:05",3.5,25
53,4,"13:05",3.5,25
53,5,"15:05",0.3,0
53,6,"17:05",-3,0
54,1,"06:08",-3,0
54,2,"08:08",-0.9,25
54,3,"10:08",1.2,25
54,4,"13:02",1.2,25
54,5,"15:02",-1.4,0
54,6,"17:02",-4,0
55,1,"06:11",-4,0
55,2,"08:11",-2.7,25
55,3,"10:11",-1.3,25
55,4,"13:00",-1.3,25
55,5,"15:00",-2.7,0
55,6,"17:00",-4.1,0
56,1,"06:14",-4.1,0
56,2,"08:14",-2.1,25
56,3,"10:14",0,25
56,4,"12:58",0,25
56,5,"14:58",-1.6,0
56,6,"16:58",-3.1,0
57,1,"06:17",-3.1,0
57,2,"08:17",-1.7,25
57,3,"10:17",-0.2,25
57,4,"12:55",-0.2,25
57,5,"14:55",-2.5,0
57,6,"16:55",-4.7,0
58,1,"06:19",-4.7,0
58,2,"08:19",-3,25
58,3,"10:19",-1.2,25
58,4,"12:53",-1.2,25
58,5,"14:53",-3.3,0
58,6,"16:53",-5.4,0
59,1,"06:22",-5.4,0
59,2,"08:22",-3,25
59,3,"10:22",-0.5,25
59,4,"12:51",-0.5,25
59,5,"14:51",-1,0
59,6,"16:51",-1.4,0
60,1,"06:25",-1.4,0
60,2,"08:25",0.3,25
60,3,"10:25",2.1,25
60,4,"12:48",2.1,25
60,5,"14:48",1.7,0
60,6,"16:48",1.2,0
61,1,"06:28",1.2,0
61,2,"08:28",2.3,25
61,3,"10:28",3.5,25
61,4,"12:46",3.5,25
61,5,"14:46",1.7,0
61,6,"16:46",0,0
62,1,"06:30",0,0
62,2,"08:30",1.4,25
62,3,"10:30",2.8,25
62,4,"12:44",2.8,25
62,5,"14:44",1.8,0
62,6,"16:44",0.8,0
63,1,"06:33",0.8,0
63,2,"08:33",1.7,25
63,3,"10:33",2.5,25
63,4,"12:42",2.5,25
63,5,"14:42",0.7,0
63,6,"16:42",-1.1,0
64,1,"06:36",-1.1,0
64,2,"08:36",0,25
64,3,"10:36",1.1,25
64,4,"12:40",1.1,25
64,5,"14:40",-0.6,0
64,6,"16:40",-2.3,0
65,1,"06:38",-2.3,0
65,2,"08:38",-1.4,25
65,3,"10:38",-0.5,25
65,4,"12:38",-0.5,25
65,5,"14:38",-1.6,0
65,6,"16:38",-2.6,0
66,1,"06:41",-2.6,0
66,2,"08:41",-1.9,25
66,3,"10:41",-1.2,25
66,4,"12:36",-1.2,25
66,5,"14:36",-1.9,0
66,6,"16:36",-2.7,0
67,1,"06:43",-2.7,0
67,2,"08:43",-1.7,25
67,3,"10:43",-0.8,25
67,4,"12:34",-0.8,25
67,5,"14:34",-2.6,0
67,6,"16:34",-4.3,0
68,1,"06:46",-4.3,0
68,2,"08:46",-3.1,25
68,3,"10:46",-1.8,25
68,4,"12:33",-1.8,25
68,5,"14:33",-3.2,0
68,6,"16:33",-4.6,0
69,1,"06:48",-4.6,0
69,2,"08:48",-3.6,25
69,3,"10:48",-2.6,25
69,4,"12:31",-2.6,25
69,5,"14:31",-1.7,0
69,6,"16:31",-0.8,0
70,1,"06:57",-0.8,0
70,2,"08:57",-0.3,25
70,3,"10:57",0.1,25
70,4,"12:25",0.1,25
70,5,"14:25",-2,0
70,6,"16:25",-4.1,0
71,1,"07:05",-4.1,0
71,2,"09:05",-3.2,25
71,3,"11:05",-2.2,25
71,4,"12:21",-2.2,25
71,5,"14:21",-1.7,0
71,6,"16:21",-1.1,0
72,1,"07:11",-1.1,0
72,2,"09:11",-0.1,25
72,3,"11:11",1,25
72,4,"12:18",1,25
72,5,"14:18",-3.5,0
72,6,"16:18",-8.1,0
73,1,"07:16",-8.1,0
73,2,"09:16",-5.7,25
73,3,"11:16",-3.2,25
73,4,"12:17",-3.2,25
73,5,"14:17",-3.3,0
73,6,"16:17",-3.3,0
74,1,"07:19",-3.3,0
74,2,"09:19",-1.9,25
74,3,"11:19",-0.5,25
74,4,"12:18",-0.5,25
74,5,"14:18",-1.8,0
74,6,"16:18",-3,0
75,1,"07:21",-3,0
75,2,"09:21",-2.1,25
75,3,"11:21",-1.2,25
75,4,"12:21",-1.2,25
75,5,"14:21",-2.2,0
75,6,"16:21",-3.2,0
76,1,"07:20",-3.2,0
76,2,"09:20",-2.7,25
76,3,"11:20",-2.2,25
76,4,"12:26",-2.2,25
76,5,"14:26",-1.8,0
76,6,"16:26",-1.5,0
77,1,"07:18",-1.5,0
77,2,"09:18",-1.1,33
77,3,"11:18",-0.8,33
77,4,"12:32",-0.8,33
77,5,"14:32",-2,0
77,6,"16:32",-3.3,0
78,1,"07:14",-3.3,0
78,2,"09:14",-2.7,40
78,3,"11:14",-2.2,40
78,4,"12:40",-2.2,40
78,5,"14:40",-2.9,0
78,6,"16:40",-3.7,0
79,1,"07:08",-3.7,0
79,2,"09:08",-2.6,47
79,3,"11:08",-1.5,47
79,4,"12:49",-1.5,47
79,5,"14:49",-1.3,0
79,6,"16:49",-1.1,0
80,1,"07:01",-1.1,0
80,2,"09:01",-0.4,56
80,3,"11:01",0.3,56
80,4,"12:59",0.3,56
80,5,"14:59",-2.3,0
80,6,"16:59",-5,0
81,1,"06:54",-5,0
81,2,"08:54",-3.5,66
81,3,"10:54",-2.1,66
81,4,"13:09",-2.1,66
81,5,"15:09",-3.2,0
81,6,"17:09",-4.2,0
82,1,"06:45",-4.2,0
82,2,"08:45",-3.9,76
82,3,"10:45",-3.6,76
82,4,"13:21",-3.6,76
82,5,"15:21",-3.1,0
82,6,"17:21",-2.7,0
83,1,"06:35",-2.7,0
83,2,"08:35",-1.4,87
83,3,"10:35",0,87
83,4,"13:32",0,87
83,5,"15:32",0.1,0
83,6,"17:32",0.3,0
84,1,"06:25",0.3,0
84,2,"08:25",1.4,99
84,3,"10:25",2.6,99
84,4,"13:44",2.6,99
84,5,"15:44",-3.1,0
84,6,"17:44",-8.8,0
85,1,"06:14",-8.8,0
85,2,"08:14",-5.4,111
85,3,"10:14",-2,111
85,4,"13:56",-2,111
85,5,"15:56",-2.6,0
85,6,"17:56",-3.2,0
86,1,"06:03",-3.2,0
86,2,"08:03",-2.7,124
86,3,"10:03",-2.1,124
86,4,"14:08",-2.1,124
86,5,"16:08",-2.2,0
86,6,"18:08",-2.3,0
87,1,"05:51",-2.3,0
87,2,"07:51",-1.2,136
87,3,"09:51",-0.2,136
87,4,"14:20",-0.2,136
87,5,"16:20",-1.2,0
87,6,"18:20",-2.2,0
88,1,"05:39",-2.2,0
88,2,"07:39",-1.6,149
88,3,"09:39",-1,149
88,4,"14:32",-1,149
88,5,"16:32",-2.7,0
88,6,"18:32",-4.3,0
89,1,"05:27",-4.3,0
89,2,"07:27",-3.7,161
89,3,"09:27",-3.1,161
89,4,"14:44",-3.1,161
89,5,"16:44",-1.6,0
89,6,"18:44",-0.2,0
90,1,"05:14",-0.2,0
90,2,"07:14",1.6,174
90,3,"09:14",3.4,174
90,4,"14:55",3.4,174
90,5,"16:55",-2,0
90,6,"18:55",-7.3,0
91,1,"05:01",-7.3,0
91,2,"07:01",-4.6,187
91,3,"09:01",-1.8,187
91,4,"15:07",-1.8,187
91,5,"17:07",-4.6,0
91,6,"19:07",-7.3,0
92,1,"04:49",-7.3,0
92,2,"06:49",-6.5,200
92,3,"08:49",-5.6,200
92,4,"15:18",-5.6,200
92,5,"17:18",-7.3,0
92,6,"19:18",-9,0
93,1,"04:36",-9,0
93,2,"06:36",-6.1,213
93,3,"08:36",-3.2,213
93,4,"15:29",-3.2,213
93,5,"17:29",-4.9,0
93,6,"19:29",-6.6,0
94,1,"04:23",-6.6,0
94,2,"06:23",-3.6,225
94,3,"08:23",-0.7,225
94,4,"15:40",-0.7,225
94,5,"17:40",-1.9,0
94,6,"19:40",-3.1,0
95,1,"04:09",-3.1,0
95,2,"06:09",-1.7,238
95,3,"08:09",-0.3,238
95,4,"15:52",-0.3,238
95,5,"17:52",-1.6,0
95,6,"19:52",-3,0
96,1,"03:56",-3,0
96,2,"05:56",-1.1,251
96,3,"07:56",0.8,251
96,4,"16:02",0.8,251
96,5,"18:02",-2.5,0
96,6,"20:02",-5.8,0
97,1,"03:43",-5.8,0
97,2,"05:43",-3.3,264
97,3,"07:43",-0.8,264
97,4,"16:13",-0.8,264
97,5,"18:13",-1.4,0
97,6,"20:13",-2,0
98,1,"04:30",-2,0
98,2,"06:30",-1.2,276
98,3,"08:30",-0.4,276
98,4,"17:24",-0.4,276
98,5,"19:24",-2.3,0
98,6,"21:24",-4.1,0
99,1,"04:16",-4.1,0
